CallNum,CallDate,CallTime,Source,DuplicateCalls,ReasonCode,ReasonText,ActionCode,PoliceYN,FireIncidents_NotUsed,Jurisdiction,StreetNum,StreetName,StreetSuf,StreetApt,IStreetNum,iStreetName,iStreetSuf,IStreetApt,Location,SiteNum,District,Zone,ReportingCode,Officer1,Officer2,HazardYN,ModifiedDate,ModifiedTime,ModifiedID,CreatedDate,CreatedTime,ClosedByID,CreatedSec,LockedByID,PrimaryOfficer,ClosedDate,ClosedTime
13-19,20130101,147,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,134,WALNUT,ST,,,,,,,,,A2,,,,N,20130101,155,489,20130101,147,489,4,489,489,20130101,155
13-165,20130101,1724,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,151,DOVER,ST,,,,,,JAMES EDGAR PLAYGROUND,5592,,B2,229,229,461,N,20130101,1735,461,20130101,1725,461,46,461,229,20130101,1735
13-342,20130102,1440,O,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,59,MYRTLE,ST,,,,,,,,,B1,503,503,,Y,20130102,1750,503,20130102,1441,503,49,383,503,20130102,1750
13-384,20130102,1751,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,1,GOLDEN,CIR,,,,,,,,,A1,,,,Y,20130102,1947,441,20130102,1752,441,36,,,20130102,1947
13-962,20130104,2226,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,20,HAVERHILL,ST,,,,,,DOUGLAS SECURITY,724,,A2,506,506,,Y,20130104,2230,506,20130104,2227,506,39,506,506,20130104,2230
13-1003,20130105,355,O,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,377,MONTELLO,ST,,,,,,,,,B2,513,513,519,N,20130105,433,513,20130105,356,513,15,513,513,20130105,433
13-1413,20130106,2130,O,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,1015,MAIN,ST,,,,,,BROCKTON TOUCHLESS CAR WASH,781,,B2,316,316,,N,20130106,2138,489,20130106,2130,489,20,,,20130106,2138
13-1588,20130107,1428,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,70,E BATTLES,ST,,,,,,,,,A2,,,,N,20130107,1444,416,20130107,1430,416,24,416,416,20130107,1444
13-1985,20130108,2319,O,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,362,WARREN,AVE,,,,,,,,,B2,399,399,,N,20130108,2323,482,20130108,2320,482,26,,,20130108,2323
13-1993,20130109,107,A,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,174,DOVER,ST,,,,,,,,,B2,,,,N,20130109,120,516,20130109,108,516,38,,,20130109,120
13-6797,20130127,2310,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,201,N MONTELLO,ST,,,,,,TOTAL WELDING SUPPLY INC,2240,,B2,399,399,,N,20130127,2325,399,20130127,2311,399,35,399,399,20130127,2325
13-8728,20130203,1814,O,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,43,OAKDALE,ST,,,,,,,,,A1,446,446,,N,20130203,1842,446,20130203,1815,446,1,446,446,20130203,1842
13-8756,20130203,2037,O,2,GNSH,Gunshot Call By Shotspotter,HS,Y,,BRO,809,WARREN,AVE,,,,,,,,,B2,403,403,,Y,20130203,2353,407,20130203,2039,407,30,399,407,20130203,2353
13-9021,20130204,1927,H,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,373,WARREN,AVE,,57,BARTLETT,ST,,,809,,B2,,,,Y,20130204,2102,400,20130204,1929,400,7,316,316,20130204,2102
13-9356,20130205,2226,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,92,BELLEVUE,AVE,,79,SAWTELL,AVE,,,,,A3,406,406,,N,20130205,2241,406,20130205,2226,406,42,406,406,20130205,2241
13-11528,20130212,1816,O,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,103,DIVISION,ST,,,,,,,,,A2,404,404,532,Y,20130212,1923,441,20130212,1817,441,42,482,517,20130212,1923
13-11908,20130213,2238,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,229,AMES,ST,,,,,,,,,A3,399,399,,Y,20130213,2254,292,20130213,2239,292,13,292,292,20130213,2254
13-12490,20130216,306,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,20,PUTNAM,ST,,,,,,,,,A3,402,402,291,N,20130216,326,377,20130216,307,377,34,377,402,20130216,326
13-13929,20130221,2037,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,36,EMERSON,AVE,,,,,,,,,A2,341,341,,Y,20130221,2046,430,20130221,2038,430,54,,,20130221,2046
13-14543,20130224,25,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,107,CLINTON,ST,,,,,,,,,B3,,,,Y,20130224,41,534,20130224,25,534,49,534,,20130224,41
13-14595,20130224,435,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,380,N MONTELLO,ST,,,,,,,,,A2,,,,N,20130224,449,362,20130224,436,362,52,362,,20130224,449
13-15630,20130228,219,O,2,GNSH,Gunshot Call By Shotspotter,AR,Y,,BRO,210,BELMONT,ST,,,,,,,,,B1,484,484,,Y,20130228,1009,398,20130228,220,398,1,473,484,20130228,1009
13-16192,20130302,242,H,1,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,966,MAIN,ST,,,,,,ADVANCED AUTO PARTS,2022,,B2,,,,Y,20130302,754,462,20130302,242,462,14,493,493,20130302,754
13-16371,20130302,1829,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,55,PARKER,ST,,,,,,,,,A3,489,489,,Y,20130302,1850,489,20130302,1830,489,25,489,489,20130302,1850
13-17293,20130306,1132,T,,GNSH,Gunshot Call By Shotspotter,MS,N,,BRO,20,CLINTON,AVE,,,,,,,,,B2,,,,N,20130306,1139,332,20130306,1133,332,18,,,20130306,1139
13-19163,20130313,259,H,2,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,48,GLENWOOD,SQ,,32,GLENWOOD,ST,,,,,A1,,,,N,20130313,446,493,20130313,301,493,25,493,493,20130313,446
13-22477,20130324,1924,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,23,BOLTON,PL,,,,,,,,,B2,,,,N,20130324,1943,460,20130324,1925,460,46,342,342,20130324,1943
13-23653,20130329,237,T,1,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,58,PROSPECT,ST,,,,,,,,,A2,,,,N,20130329,251,513,20130329,238,513,7,513,,20130329,251
13-25287,20130403,2029,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,33,FAIRMOUNT,AVE,,,,,,,,,A2,287,287,,N,20130403,2053,517,20130403,2029,517,49,,,20130403,2053
13-25327,20130404,10,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,55,DIVISION,ST,,,,,,,,,A2,,,,N,20130404,39,475,20130404,10,475,16,533,,20130404,39
13-25848,20130405,2000,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,52,FAIRMOUNT,AVE,,,,,,,,,A2,,,,Y,20130405,2014,446,20130405,2000,446,14,,,20130405,2014
13-26714,20130408,2002,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,852,WARREN,AVE,,,,,,,,,B2,403,403,,N,20130408,2018,365,20130408,2002,365,22,403,403,20130408,2018
13-28275,20130413,2352,H,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,11,TURNER,ST,,,,,,,,,A2,,,,N,20130414,41,462,20130413,2353,462,6,462,416,20130414,41
13-28308,20130414,219,H,1,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,80,S FULLER ST,EXT,,,,,,,,,B1,,,,N,20130414,519,516,20130414,220,516,25,516,516,20130414,519
13-29219,20130417,1834,H,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,22,BRIDES,CT,,,,,,,,,A1,,,,N,20130417,2038,399,20130417,1835,399,57,436,,20130417,2038
